State,Year,Party,Votes,Ratio
Andaman & Nicobar Islands,1977,IND,25168,0.4155
Andaman & Nicobar Islands,1977,UPA,35400,0.5845
Andaman & Nicobar Islands,1980,IND,18088,0.2293
Andaman & Nicobar Islands,1980,CPM,16014,0.203
Andaman & Nicobar Islands,1980,UPA,42046,0.5329
Andaman & Nicobar Islands,1984,LKD,27883,0.3134
Andaman & Nicobar Islands,1984,CPM,11086,0.1246
Andaman & Nicobar Islands,1984,UPA,47019,0.5285
Andaman & Nicobar Islands,1989,CPM,34469,0.3049
Andaman & Nicobar Islands,1989,ICS,19172,0.1696
Andaman & Nicobar Islands,1989,IND,6041,0.0534
Andaman & Nicobar Islands,1989,UPA,53383,0.4721
Andaman & Nicobar Islands,1991,CPM,47374,0.4414
Andaman & Nicobar Islands,1991,UPA,54075,0.5039
Andaman & Nicobar Islands,1996,CPM,18363,0.1432
Andaman & Nicobar Islands,1996,NDA,31097,0.2425
Andaman & Nicobar Islands,1996,UPA,74642,0.5822
Andaman & Nicobar Islands,1998,ICS,29687,0.2036
Andaman & Nicobar Islands,1998,CPM,8272,0.0567
Andaman & Nicobar Islands,1998,NDA,51821,0.3553
Andaman & Nicobar Islands,1998,UPA,52365,0.3591
Andaman & Nicobar Islands,1999,NDA,77906,0.5307
Andaman & Nicobar Islands,1999,UPA,63959,0.4357
Andaman & Nicobar Islands,2004,NDA,57658,0.3778
Andaman & Nicobar Islands,2004,UPA,88158,0.5776
Andaman & Nicobar Islands,2009,NDA,79907,0.473
Andaman & Nicobar Islands,2009,UPA,81833,0.4844
Andaman & Nicobar Islands,2014,NDA,90969,0.4953
Andaman & Nicobar Islands,2014,UPA,83157,0.4528
Andhra Pradesh,1977,BLD,5400643,0.3233
Andhra Pradesh,1977,UPA,9582708,0.5736
Andhra Pradesh,1980,JNP,3658365,0.2164
Andhra Pradesh,1980,IND,1280398,0.0757
Andhra Pradesh,1980,UPA,10731320,0.6347
Andhra Pradesh,1984,IND,1194493,0.0528
Andhra Pradesh,1984,NDA,10634456,0.4704
Andhra Pradesh,1984,UPA,9452394,0.4181
Andhra Pradesh,1989,NDA,10476852,0.3645
Andhra Pradesh,1989,UPA,14671782,0.5104
Andhra Pradesh,1991,NDA,10677936,0.4201
Andhra Pradesh,1991,UPA,11610772,0.4568
Andhra Pradesh,1996,NTRTDP,3249267,0.1075
Andhra Pradesh,1996,NDA,11589759,0.3836
Andhra Pradesh,1996,UPA,12087596,0.4001
Andhra Pradesh,1998,NDA,16035857,0.5035
Andhra Pradesh,1998,UPA,12272260,0.3853
Andhra Pradesh,1999,NDA,16602103,0.4986
Andhra Pradesh,1999,UPA,14279060,0.4289
Andhra Pradesh,2004,NDA,14850829,0.4161
Andhra Pradesh,2004,UPA,14867226,0.4165
Andhra Pradesh,2004,TRS,2432378,0.0681
Andhra Pradesh,2009,PRAP,6590026,0.1617
Andhra Pradesh,2009,IND,2074863,0.0509
Andhra Pradesh,2009,NDA,11829813,0.2903
Andhra Pradesh,2009,UPA,16034225,0.3934
Andhra Pradesh,2009,TRS,2182613,0.0536
Andhra Pradesh,2014,TRS,6736270,0.1429
Andhra Pradesh,2014,NDA,18191138,0.3858
Andhra Pradesh,2014,UPA,5578329,0.1183
Andhra Pradesh,2014,YSRCP,13929598,0.2954
Arunachal Pradesh,1977,UPA,20909,0.4125
Arunachal Pradesh,1977,IND,29781,0.5875
Arunachal Pradesh,1980,PPA,69810,0.4022
Arunachal Pradesh,1980,UPA,95466,0.55
Arunachal Pradesh,1984,PPA,78455,0.3463
Arunachal Pradesh,1984,IND,40418,0.1784
Arunachal Pradesh,1984,UPA,98131,0.4332
Arunachal Pradesh,1989,PPA,96181,0.3521
Arunachal Pradesh,1989,IND,40408,0.1479
Arunachal Pradesh,1989,UPA,136541,0.4999
Arunachal Pradesh,1991,JD,64380,0.2468
Arunachal Pradesh,1991,NDA,15943,0.0611
Arunachal Pradesh,1991,UPA,179824,0.6892
Arunachal Pradesh,1996,IND,157738,0.5375
Arunachal Pradesh,1996,NDA,51095,0.1741
Arunachal Pradesh,1996,UPA,84615,0.2883
Arunachal Pradesh,1998,AC,172496,0.5247
Arunachal Pradesh,1998,NDA,71505,0.2175
Arunachal Pradesh,1998,UPA,78564,0.239
Arunachal Pradesh,1999,AC,70760,0.1542
Arunachal Pradesh,1999,NDA,102465,0.2234
Arunachal Pradesh,1999,UPA,275351,0.6002
Arunachal Pradesh,2004,AC,76527,0.2014
Arunachal Pradesh,2004,IND,46736,0.123
Arunachal Pradesh,2004,NDA,207286,0.5454
Arunachal Pradesh,2004,UPA,38341,0.1009
Arunachal Pradesh,2009,NDA,186103,0.3717
Arunachal Pradesh,2009,UPA,255866,0.5111
Arunachal Pradesh,2009,AC,46539,0.093
Arunachal Pradesh,2014,PPA,47018,0.0791
Arunachal Pradesh,2014,NDA,281409,0.4736
Arunachal Pradesh,2014,UPA,252149,0.4243
Assam,1977,BLD,1368058,0.3578
Assam,1977,IND,292166,0.0764
Assam,1977,UPA,1932994,0.5056
Assam,1980,CPM,58146,0.0917
Assam,1980,JNP,50854,0.0802
Assam,1980,UPA,524960,0.8281
Assam,1984,ICS,435380,0.0585
Assam,1984,IND,4251696,0.571
Assam,1984,UPA,1749688,0.235
Assam,1991,JD,412906,0.0534
Assam,1991,AGP,1437019,0.1858
Assam,1991,IND,1179174,0.1525
Assam,1991,NDA,724080,0.0936
Assam,1991,UPA,2409284,0.3115
Assam,1991,CPM,400122,0.0517
Assam,1991,NAGP,403742,0.0522
Assam,1996,AGP,2560506,0.2762
Assam,1996,IND,1103300,0.119
Assam,1996,NDA,1500608,0.1618
Assam,1996,UPA,2981700,0.3216
Assam,1998,AGP,1064977,0.1275
Assam,1998,IND,796799,0.0954
Assam,1998,NDA,2049723,0.2454
Assam,1998,UPA,3264032,0.3908
Assam,1999,IND,925757,0.0933
Assam,1999,NDA,3005700,0.3029
Assam,1999,UPA,3854838,0.3885
Assam,1999,AGP,1182061,0.1191
Assam,2004,AGP,2065845,0.2012
Assam,2004,IND,1390938,0.1355
Assam,2004,NDA,2391281,0.2329
Assam,2004,UPA,3649162,0.3555
Assam,2009,AUDF,1954901,0.1625
Assam,2009,IND,921379,0.0766
Assam,2009,NDA,1993240,0.1657
Assam,2009,UPA,4253880,0.3537
Assam,2009,BOPF,656430,0.0546
Assam,2009,AGP,1773103,0.1474
Assam,2014,AIUDF,2230281,0.1519
Assam,2014,IND,1414189,0.0963
Assam,2014,NDA,5507152,0.375
Assam,2014,UPA,4467295,0.3042
Bihar,1977,BLD,13563737,0.65
Bihar,1977,CPI,1175153,0.0563
Bihar,1977,UPA,4781142,0.2291
Bihar,1980,JNP,8126936,0.4016
Bihar,1980,UPA,8744402,0.4321
Bihar,1980,IND,1498639,0.0741
Bihar,1980,CPI,1475238,0.0729
Bihar,1984,JNP,1643632,0.0659
Bihar,1984,IND,2067322,0.0829
Bihar,1984,NDA,1731585,0.0695
Bihar,1984,UPA,13292722,0.5332
Bihar,1984,CPI,2062664,0.0827
Bihar,1984,LKD,3425952,0.1374
Bihar,1989,JD,11619517,0.3785
Bihar,1989,NDA,3617091,0.1178
Bihar,1989,UPA,9636013,0.3138
Bihar,1989,CPI,2447484,0.0797
Bihar,1991,JD,10092313,0.3437
Bihar,1991,JP,1705495,0.0581
Bihar,1991,NDA,4721008,0.1608
Bihar,1991,UPA,8342917,0.2841
Bihar,1991,CPI,2236019,0.0761
Bihar,1996,SAP,4946601,0.1462
Bihar,1996,JD,10911044,0.3224
Bihar,1996,IND,1791432,0.0529
Bihar,1996,NDA,7032882,0.2078
Bihar,1996,UPA,5608906,0.1657
Bihar,1996,CPI,2398040,0.0709
Bihar,1998,SAP,5884100,0.16
Bihar,1998,JD,3250609,0.0884
Bihar,1998,CPI,2061890,0.0561
Bihar,1998,NDA,8986483,0.2444
Bihar,1998,UPA,13442011,0.3655
Bihar,1999,JD,7449758,0.2074
Bihar,1999,CPI,1838786,0.0512
Bihar,1999,NDA,8673068,0.2415
Bihar,1999,UPA,14571224,0.4057
Bihar,2004,JD,6564097,0.2254
Bihar,2004,LJNSP,2402603,0.0825
Bihar,2004,IND,1915910,0.0658
Bihar,2004,NDA,4564747,0.1567
Bihar,2004,UPA,10597113,0.3639
Bihar,2009,JD,5832215,0.251
Bihar,2009,IND,2894436,0.1246
Bihar,2009,NDA,3721626,0.1602
Bihar,2009,UPA,7466551,0.3214
Bihar,2009,LJP,1586404,0.0683
Bihar,2014,JD,5662444,0.1664
Bihar,2014,NDA,11100950,0.3262
Bihar,2014,UPA,10798152,0.3173
Bihar,2014,LJP,2295929,0.0675
Chandigarh,1977,BLD,70808,0.6613
Chandigarh,1977,UPA,30382,0.2837
Chandigarh,1980,IND,40980,0.3302
Chandigarh,1980,JNP,12546,0.1011
Chandigarh,1980,UPA,70589,0.5687
Chandigarh,1984,JNP,36790,0.2356
Chandigarh,1984,NDA,8740,0.056
Chandigarh,1984,UPA,103090,0.6602
Chandigarh,1989,JD,91212,0.4242
Chandigarh,1989,NDA,26586,0.1237
Chandigarh,1989,UPA,87238,0.4058
Chandigarh,1991,JP,50177,0.2422
Chandigarh,1991,NDA,61533,0.297
Chandigarh,1991,UPA,76628,0.3698
Chandigarh,1996,SAP,45569,0.1847
Chandigarh,1996,BSP,14740,0.0597
Chandigarh,1996,NDA,101137,0.4099
Chandigarh,1996,UPA,77168,0.3127
Chandigarh,1998,SJP,41195,0.1475
Chandigarh,1998,NDA,119787,0.4288
Chandigarh,1998,UPA,109421,0.3917
Chandigarh,1999,NDA,127475,0.4515
Chandigarh,1999,UPA,132924,0.4708
Chandigarh,2004,INLD,17762,0.0664
Chandigarh,2004,NDA,94632,0.3535
Chandigarh,2004,UPA,139880,0.5226
Chandigarh,2009,BSP,61434,0.1794
Chandigarh,2009,NDA,102075,0.298
Chandigarh,2009,UPA,172591,0.5039
Chandigarh,2014,AAAP,108679,0.2436
Chandigarh,2014,NDA,191362,0.4289
Chandigarh,2014,UPA,121720,0.2728
Chattisgarh,2009,IND,842855,0.0997
Chattisgarh,2009,NDA,3851970,0.4558
Chattisgarh,2009,UPA,3217235,0.3807
Chhattisgarh,2004,NDA,3413759,0.4829
Chhattisgarh,2004,UPA,2869260,0.4058
Chhattisgarh,2014,NDA,5973904,0.5046
Chhattisgarh,2014,UPA,4702813,0.3972
Dadra & Nagar Haveli,1977,BLD,7678,0.3182
Dadra & Nagar Haveli,1977,IND,5129,0.2125
Dadra & Nagar Haveli,1977,UPA,11324,0.4693
Dadra & Nagar Haveli,1980,JNP,5697,0.1829
Dadra & Nagar Haveli,1980,IND,4390,0.1409
Dadra & Nagar Haveli,1980,UPA,21059,0.6761
Dadra & Nagar Haveli,1984,IND,21507,0.5604
Dadra & Nagar Haveli,1984,UPA,15471,0.4031
Dadra & Nagar Haveli,1989,IND,30811,0.5925
Dadra & Nagar Haveli,1989,CPM,5604,0.1078
Dadra & Nagar Haveli,1989,UPA,14875,0.2861
Dadra & Nagar Haveli,1991,NDA,17142,0.3539
Dadra & Nagar Haveli,1991,UPA,29907,0.6174
Dadra & Nagar Haveli,1996,NDA,30035,0.4242
Dadra & Nagar Haveli,1996,UPA,39384,0.5562
Dadra & Nagar Haveli,1998,NDA,69223,0.9544
Dadra & Nagar Haveli,1999,IND,32300,0.4492
Dadra & Nagar Haveli,1999,NDA,29004,0.4034
Dadra & Nagar Haveli,1999,UPA,10601,0.1474
Dadra & Nagar Haveli,2004,BNP,34665,0.4317
Dadra & Nagar Haveli,2004,IND,4865,0.0606
Dadra & Nagar Haveli,2004,NDA,19001,0.2366
Dadra & Nagar Haveli,2004,UPA,21772,0.2711
Dadra & Nagar Haveli,2009,IND,7112,0.0644
Dadra & Nagar Haveli,2009,NDA,51242,0.4643
Dadra & Nagar Haveli,2009,UPA,50624,0.4587
Dadra & Nagar Haveli,2014,NDA,82401,0.5014
Dadra & Nagar Haveli,2014,UPA,76187,0.4636
Daman & Diu,1989,IND,15999,0.4379
Daman & Diu,1989,JD,6732,0.1842
